GENE,ENSEMBL
il12r,ENSMUSG00000000791
il16,ENSMUSG00000001741
thbs4,ENSMUSG00000021702
ifngr2,ENSMUSG00000022965
cxcl13,ENSMUSG00000023078
il1rl1,ENSMUSG00000026069
il18r,ENSMUSG00000026070
xcl1,ENSMUSG00000026573
lrp2,ENSMUSG00000027070
il2,ENSMUSG00000027720
plxnb3,ENSMUSG00000031385
vegfc,ENSMUSG00000031520
slit2,ENSMUSG00000031558
ephb1,ENSMUSG00000032537
ccl5,ENSMUSG00000035042
ccn3,ENSMUSG00000037362
ccr7,ENSMUSG00000037944
ccr6,ENSMUSG00000040899
ccr4,ENSMUSG00000047898
agtr1a,ENSMUSG00000049115
sema5b,ENSMUSG00000052133
cd8,ENSMUSG00000053977
fgf18,ENSMUSG00000057967
grem1,ENSMUSG00000074934
ccr5,ENSMUSG00000079227
ccl21a,ENSMUSG00000094686
